solar,wind,ES solar cap
0.1,0.1,88.5
0.1,0.3,76.4
0.1,0.4,70.3
0.1,0.5,65.5
0.1,0.6,54.4
0.1,0.7,53.0
0.1,0.9,42.0
0.3,0.1,359.9
0.3,0.3,323.0
0.3,0.4,296.1
0.3,0.5,280.2
0.3,0.6,252.8
0.3,0.7,199.8
0.3,0.9,165.4
0.4,0.1,524.2
0.4,0.3,469.6
0.4,0.4,445.8
0.4,0.5,410.0
0.4,0.6,376.5
0.4,0.7,345.3
0.4,0.9,266.1
0.5,0.1,665.5
0.5,0.3,612.2
0.5,0.4,585.3
0.5,0.5,560.2
0.5,0.6,493.9
0.5,0.7,463.0
0.6,0.1,816.7
0.6,0.3,759.9
0.6,0.4,760.9
0.6,0.5,689.6
0.6,0.6,609.9
0.6,0.7,594.7
0.7,0.1,962.6
0.7,0.3,937.2
0.7,0.4,895.1
0.7,0.5,796.8
0.7,0.6,738.6
0.9,0.1,1131.5
0.9,0.3,1131.5
0.9,0.4,1122.2
